intent_code,subintent_code,subintent_name,scenario,first_input,vehicle_state,ASSISTANT_MODE,source,note,seed_input,persona_id,persona_name,model
journey_navigation_places,destination_poi,Tìm điểm đến/POI,"Tôi đang trên đường về sau một buổi họp dài tại ủy ban, một mình, đầu óc còn đang lơ mơ với mấy vấn đề chưa giải quyết xong — bỗng nhận ra đồng hồ pin xe sắp cạn mà chưa tính trước chỗ sạc.","Vita, trạm sạc gần nhất đâu?",driving,quiet,persona:wiki-62c08cb727c5,,Dẫn đường đến trạm xăng gần nhất.,wiki-62c08cb727c5,Mai Tran,openrouter/ag/claude-sonnet-4-6
journey_navigation_places,destination_poi,Tìm điểm đến/POI,"Tôi đang chạy xe một mình dọc đường Lê Duẩn sau khi kết thúc buổi tiếp dân buổi sáng, tâm trạng khá thoải mái, không vội, bụng bắt đầu réo gọi.","Vita, tìm quán phở ngon gần đây rồi dẫn tôi vào đó.",driving,balance,persona:wiki-62c08cb727c5,,Tìm một quán phở gần đây rồi dẫn đường tới đó.,wiki-62c08cb727c5,Mai Tran,openrouter/ag/claude-sonnet-4-6
journey_navigation_places,destination_poi,Tìm điểm đến/POI,"Tôi đang chạy vào trung tâm thành phố để dự một sự kiện, có một đồng nghiệp ngồi cùng, hơi vội vì sắp đến giờ, cần tìm chỗ đỗ xe nhanh gần khu vực chợ Bến Thành.","Vita, tìm bãi đỗ xe gần chợ Bến Thành và dẫn đường vào đó ngay.",driving,proactive,persona:wiki-62c08cb727c5,,Đưa tôi đến bãi đỗ xe gần chợ Bến Thành.,wiki-62c08cb727c5,Mai Tran,openrouter/ag/claude-sonnet-4-6
journey_navigation_places,destination_poi,Tìm điểm đến/POI,"Xe đang đỗ trước cổng đơn vị, tôi vừa xong ca trực sáng, thong thả, một mình, muốn tìm chỗ ngồi yên tĩnh để đọc lại mấy trang tài liệu trước khi về nhà.","Vita, quán cà phê yên tĩnh gần đây.",parking,quiet,persona:wiki-62c08cb727c5,,Tìm một quán cà phê gần đây để tôi đến.,wiki-62c08cb727c5,Mai Tran,openrouter/ag/claude-sonnet-4-6
journey_navigation_places,destination_poi,Tìm điểm đến/POI,"Xe đang đỗ tại bãi giữ xe gần Hội trường Thống Nhất, tôi đang dẫn một đoàn cựu chiến binh đến tham quan, tâm trạng trang nghiêm và trân trọng, cần đến Bảo tàng Chứng tích Chiến tranh tiếp theo.","Vita, dẫn đường đến Bảo tàng Chứng tích Chiến tranh.",parking,balance,persona:wiki-62c08cb727c5,,Dẫn đường đến Bảo tàng Chứng tích Chiến tranh.,wiki-62c08cb727c5,Mai Tran,openrouter/ag/claude-sonnet-4-6
journey_navigation_places,destination_poi,Tìm điểm đến/POI,"Xe đang đỗ trong bãi gần công viên, tôi vừa kết thúc buổi tập thể dục buổi sáng, một mình, đang đói và muốn ăn trưa sớm trước khi về cơ quan xử lý công việc chiều.","Vita, tìm nhà hàng Việt Nam gần đây để tôi ăn trưa, ưu tiên chỗ có món miền Bắc.",parking,proactive,persona:wiki-62c08cb727c5,,Tìm giúp tôi một nhà hàng Việt Nam gần đây để ăn trưa.,wiki-62c08cb727c5,Mai Tran,openrouter/ag/claude-sonnet-4-6
journey_navigation_places,route_management,Lập và thay đổi tuyến,"Tôi đang chạy trên cao tốc một mình, đang vội vì có cuộc họp quan trọng chiều, bỗng thấy biển báo tắc đường phía trước và muốn tránh ngay.","Vita, chuyển sang đường tránh cao tốc.",driving,quiet,persona:wiki-62c08cb727c5,,Đổi tuyến hiện tại sang đường tránh cao tốc.,wiki-62c08cb727c5,Mai Tran,openrouter/ag/claude-sonnet-4-6
journey_navigation_places,route_management,Lập và thay đổi tuyến,"Tôi đang chạy xe vào giờ cao điểm sáng, một mình trên đường đến cơ quan, đang bực vì kẹt xe kéo dài và muốn tìm đường thông thoáng hơn.","Vita, đổi sang tuyến ít ùn tắc hơn cho tôi.",driving,balance,persona:wiki-62c08cb727c5,,Đổi tuyến hiện tại sang đường ít ùn tắc hơn giúp tôi.,wiki-62c08cb727c5,Mai Tran,openrouter/ag/claude-sonnet-4-6
journey_navigation_places,route_management,Lập và thay đổi tuyến,"Tôi đang trên đường đến cuộc họp, có thêm việc cần ghé qua bưu điện trung tâm để lấy tài liệu gửi đến, không quá vội nhưng cũng không muốn trễ.","Vita, thêm Bưu điện Trung tâm Thành phố vào tuyến hiện tại.",driving,proactive,persona:wiki-62c08cb727c5,,Thêm Bưu điện Trung tâm Thành phố làm điểm dừng trên tuyến hiện tại.,wiki-62c08cb727c5,Mai Tran,openrouter/ag/claude-sonnet-4-6
journey_navigation_places,route_management,Lập và thay đổi tuyến,"Xe đang đỗ trước nhà, tôi chuẩn bị lên đường đến Hà Nội công tác, một mình, tâm trạng tập trung và sẵn sàng, muốn lập tuyến ngay để khởi hành.","Vita, lập tuyến đến Hồ Hoàn Kiếm.",parking,quiet,persona:wiki-62c08cb727c5,,Lập tuyến từ đây đến Hồ Hoàn Kiếm.,wiki-62c08cb727c5,Mai Tran,openrouter/ag/claude-sonnet-4-6
