intent_code,subintent_code,subintent_name,scenario,first_input,vehicle_state,ASSISTANT_MODE,source,note,seed_input,persona_id,persona_name,model
cabin_vehicle_control,climate,Điều hòa,"Tôi đang lái xe một mình trên đường phố đông đúc để đến buổi họp chiến lược quan trọng của công ty, tâm trạng khá tập trung và hơi vội.","Vita, hạ nhiệt độ bên tài xuống 22 độ.",driving,quiet,persona:wiki-9f3c655902f2,,Giảm nhiệt độ điều hòa bên tài xế xuống 22 độ.,wiki-9f3c655902f2,Siti Putra,openrouter/google/gemini-3.5-flash-lite
cabin_vehicle_control,climate,Điều hòa,"Tôi đang chạy xe thong thả đưa đồng nghiệp đi khảo sát một dự án thể thao mới ở ngoại thành, không khí trong xe khá thoải mái và vui vẻ.","Vita ơi, tăng giúp tôi nhiệt độ điều hòa bên ghế phụ lên 24 độ nhé.",driving,balance,persona:wiki-9f3c655902f2,,Tăng nhiệt độ điều hòa bên ghế phụ lên 24 độ giúp tôi.,wiki-9f3c655902f2,Siti Putra,openrouter/google/gemini-3.5-flash-lite
cabin_vehicle_control,climate,Điều hòa,"Tôi đang lái xe một mình trên đường cao tốc để về nhà sau buổi tập thể lực hằng ngày, cảm thấy hơi mệt nhẹ nhưng tinh thần vẫn rất sảng khoái.","Vita, chỉnh nhiệt độ ghế phụ lên 25 độ giúp tôi với.",driving,proactive,persona:wiki-9f3c655902f2,,Tăng nhiệt độ điều hòa bên ghế phụ lên 25 độ giúp tôi.,wiki-9f3c655902f2,Siti Putra,openrouter/google/gemini-3.5-flash-lite
cabin_vehicle_control,climate,Điều hòa,"Tôi đang ngồi chờ trong xe trước sảnh tòa nhà văn phòng để chuẩn bị gặp đối tác, tranh thủ chỉnh lại không gian bên trong cho mát mẻ.","Vita, để điều hòa bên lái về 24 độ.",parking,quiet,persona:wiki-9f3c655902f2,,Đặt điều hòa bên lái xuống 24 độ.,wiki-9f3c655902f2,Siti Putra,openrouter/google/gemini-3.5-flash-lite
cabin_vehicle_control,climate,Điều hòa,"Tôi đang đỗ xe ở bãi đỗ của sân bóng rổ để đợi lấy tài liệu, không gian yên tĩnh và tôi đang thư giãn rảnh rỗi.","Vita ơi, chỉnh điều hòa bên ghế lái xuống 22 độ giúp tôi nhé.",parking,balance,persona:wiki-9f3c655902f2,,"Xe đang đỗ, chỉnh điều hòa bên ghế lái xuống 22 độ giúp tôi.",wiki-9f3c655902f2,Siti Putra,openrouter/google/gemini-3.5-flash-lite
cabin_vehicle_control,climate,Điều hòa,"Tôi đang ngồi trong xe đỗ dưới hầm gửi xe chuẩn bị khởi hành đi gặp ban quản lý dự án, tâm trạng thong thả và chuẩn bị kỹ càng.","Vita, bật giúp tôi điều hòa tự động ở mức 24 độ trước khi xe chạy nhé.",parking,proactive,persona:wiki-9f3c655902f2,,"Trước khi khởi hành, bật điều hòa tự động ở 24 độ nhé.",wiki-9f3c655902f2,Siti Putra,openrouter/google/gemini-3.5-flash-lite
cabin_vehicle_control,seat_comfort,Ghế và tiện nghi,"Tôi đang lái xe trên đường vành đai để đến buổi tổng kết hiệp hội thể thao, hơi vội vàng một chút nên cần tập trung tối đa.","Vita, bật làm mát ghế lái mức 2.",driving,quiet,persona:wiki-9f3c655902f2,,Bật làm mát ghế lái mức 2.,wiki-9f3c655902f2,Siti Putra,openrouter/google/gemini-3.5-flash-lite
cabin_vehicle_control,seat_comfort,Ghế và tiện nghi,"Tôi đang lái xe đường dài trên quốc lộ để đi công tác tỉnh, phong thái thong thả và muốn điều chỉnh tư thế ngồi cho đỡ mỏi.","Vita ơi, ngả tựa lưng ghế lái thêm một chút giúp tôi.",driving,balance,persona:wiki-9f3c655902f2,,Chỉnh tựa lưng ghế lái ngả thêm một chút.,wiki-9f3c655902f2,Siti Putra,openrouter/google/gemini-3.5-flash-lite
cabin_vehicle_control,seat_comfort,Ghế và tiện nghi,"Tôi đang lái xe một mình trên đường kẹt xe giờ cao điểm, hơi mỏi lưng sau cả ngày dài làm việc và tập luyện.","Vita, bật massage ghế lái giúp tôi với.",driving,proactive,persona:wiki-9f3c655902f2,,"Tôi hơi mỏi lưng, bật massage ghế lái giúp tôi.",wiki-9f3c655902f2,Siti Putra,openrouter/google/gemini-3.5-flash-lite
cabin_vehicle_control,seat_comfort,Ghế và tiện nghi,"Tôi đang dừng xe chờ người nhà ở khu đô thị, tranh thủ kiểm tra lại các tính năng tiện nghi trên xe cho gọn gàng.","Vita, tắt sưởi ghế phụ phía trước.",parking,quiet,persona:wiki-9f3c655902f2,,Tắt sưởi ghế phụ phía trước.,wiki-9f3c655902f2,Siti Putra,openrouter/google/gemini-3.5-flash-lite
