intent_code,subintent_code,subintent_name,input,vehicle_state,ASSISTANT_MODE,source,note,seed_input,persona_id,persona_name,model
journey_navigation_places,destination_poi,Tìm điểm đến/POI,Trạm xăng gần nhất đi.,driving,quiet,persona:0164,,Dẫn đường đến trạm xăng gần nhất.,0164,Nisha Iyer,openrouter/ag/claude-opus-4-6-thinking
journey_navigation_places,destination_poi,Tìm điểm đến/POI,"Vita, tìm quán phở gần đây rồi dẫn đường tới cho tôi.",driving,balance,persona:0164,,Tìm một quán phở gần đây rồi dẫn đường tới đó.,0164,Nisha Iyer,openrouter/ag/claude-opus-4-6-thinking
journey_navigation_places,destination_poi,Tìm điểm đến/POI,"Vita, tìm bãi đỗ xe gần chợ Bến Thành rồi đưa tôi tới đó.",driving,proactive,persona:0164,,Đưa tôi đến bãi đỗ xe gần chợ Bến Thành.,0164,Nisha Iyer,openrouter/ag/claude-opus-4-6-thinking
journey_navigation_places,destination_poi,Tìm điểm đến/POI,"Quán cà phê gần đây có chỗ nào không, dẫn đường tới đi.",parking,quiet,persona:0164,,Tìm một quán cà phê gần đây để tôi đến.,0164,Nisha Iyer,openrouter/ag/claude-opus-4-6-thinking
journey_navigation_places,destination_poi,Tìm điểm đến/POI,"Vita, dẫn đường tới Bảo tàng Chứng tích Chiến tranh cho tôi.",parking,balance,persona:0164,,Dẫn đường đến Bảo tàng Chứng tích Chiến tranh.,0164,Nisha Iyer,openrouter/ag/claude-opus-4-6-thinking
journey_navigation_places,destination_poi,Tìm điểm đến/POI,"Vita, tìm nhà hàng Việt Nam gần đây để tôi ăn trưa, dẫn đường luôn.",parking,proactive,persona:0164,,Tìm giúp tôi một nhà hàng Việt Nam gần đây để ăn trưa.,0164,Nisha Iyer,openrouter/ag/claude-opus-4-6-thinking
journey_navigation_places,route_management,Lập và thay đổi tuyến,Chuyển sang đường tránh cao tốc đi.,driving,quiet,persona:0164,,Đổi tuyến hiện tại sang đường tránh cao tốc.,0164,Nisha Iyer,openrouter/ag/claude-opus-4-6-thinking
journey_navigation_places,route_management,Lập và thay đổi tuyến,"Vita, đổi tuyến sang đường nào bớt kẹt hơn cho tôi.",driving,balance,persona:0164,,Đổi tuyến hiện tại sang đường ít ùn tắc hơn giúp tôi.,0164,Nisha Iyer,openrouter/ag/claude-opus-4-6-thinking
journey_navigation_places,route_management,Lập và thay đổi tuyến,"Vita, thêm Bưu điện Trung tâm Thành phố làm điểm dừng trên tuyến này.",driving,proactive,persona:0164,,Thêm Bưu điện Trung tâm Thành phố làm điểm dừng trên tuyến hiện tại.,0164,Nisha Iyer,openrouter/ag/claude-opus-4-6-thinking
journey_navigation_places,route_management,Lập và thay đổi tuyến,Lập tuyến tới Hồ Hoàn Kiếm đi.,parking,quiet,persona:0164,,Lập tuyến từ đây đến Hồ Hoàn Kiếm.,0164,Nisha Iyer,openrouter/ag/claude-opus-4-6-thinking
