intent_code,subintent_code,subintent_name,input,vehicle_state,ASSISTANT_MODE,source,note,seed_input,persona_id,persona_name,model
journey_navigation_places,destination_poi,Tìm điểm đến/POI,"Vita, dẫn đường đến trạm xăng gần nhất.",driving,quiet,persona:0071,,Dẫn đường đến trạm xăng gần nhất.,0071,Luka Petrov,openrouter/ag/gemini-3-flash
journey_navigation_places,destination_poi,Tìm điểm đến/POI,"Vita, tìm quán phở gần đây và dẫn đường tới đó.",driving,balance,persona:0071,,Tìm một quán phở gần đây rồi dẫn đường tới đó.,0071,Luka Petrov,openrouter/ag/gemini-3-flash
journey_navigation_places,destination_poi,Tìm điểm đến/POI,"Vita, chỉ đường tới bãi đỗ xe gần chợ Bến Thành.",driving,proactive,persona:0071,,Đưa tôi đến bãi đỗ xe gần chợ Bến Thành.,0071,Luka Petrov,openrouter/ag/gemini-3-flash
journey_navigation_places,destination_poi,Tìm điểm đến/POI,"Vita, tìm giúp tôi quán cà phê gần đây.",parking,quiet,persona:0071,,Tìm một quán cà phê gần đây để tôi đến.,0071,Luka Petrov,openrouter/ag/gemini-3-flash
journey_navigation_places,destination_poi,Tìm điểm đến/POI,"Vita, dẫn đường tới Bảo tàng Chứng tích Chiến tranh.",parking,balance,persona:0071,,Dẫn đường đến Bảo tàng Chứng tích Chiến tranh.,0071,Luka Petrov,openrouter/ag/gemini-3-flash
journey_navigation_places,destination_poi,Tìm điểm đến/POI,"Vita, tìm nhà hàng Việt Nam quanh đây để ăn trưa nhé.",parking,proactive,persona:0071,,Tìm giúp tôi một nhà hàng Việt Nam gần đây để ăn trưa.,0071,Luka Petrov,openrouter/ag/gemini-3-flash
journey_navigation_places,route_management,Lập và thay đổi tuyến,"Vita, chuyển sang tuyến đường tránh cao tốc.",driving,quiet,persona:0071,,Đổi tuyến hiện tại sang đường tránh cao tốc.,0071,Luka Petrov,openrouter/ag/gemini-3-flash
journey_navigation_places,route_management,Lập và thay đổi tuyến,"Vita, đổi sang tuyến đường ít tắc hơn giúp tôi.",driving,balance,persona:0071,,Đổi tuyến hiện tại sang đường ít ùn tắc hơn giúp tôi.,0071,Luka Petrov,openrouter/ag/gemini-3-flash
journey_navigation_places,route_management,Lập và thay đổi tuyến,"Vita, thêm Bưu điện Trung tâm Thành phố làm điểm dừng.",driving,proactive,persona:0071,,Thêm Bưu điện Trung tâm Thành phố làm điểm dừng trên tuyến hiện tại.,0071,Luka Petrov,openrouter/ag/gemini-3-flash
journey_navigation_places,route_management,Lập và thay đổi tuyến,"Vita, lập tuyến đường đến Hồ Hoàn Kiếm.",parking,quiet,persona:0071,,Lập tuyến từ đây đến Hồ Hoàn Kiếm.,0071,Luka Petrov,openrouter/ag/gemini-3-flash
journey_navigation_places,route_management,Lập và thay đổi tuyến,"Vita, xóa điểm dừng ở chợ Bến Thành khỏi lộ trình.",parking,balance,persona:0071,,Xóa điểm dừng ở chợ Bến Thành khỏi hành trình.,0071,Luka Petrov,openrouter/ag/gemini-3-flash
journey_navigation_places,route_management,Lập và thay đổi tuyến,"Vita, lập lộ trình đi sân bay Nội Bài ưu tiên cao tốc.",parking,proactive,persona:0071,,Lập tuyến đến sân bay Nội Bài và ưu tiên đường cao tốc.,0071,Luka Petrov,openrouter/ag/gemini-3-flash
journey_navigation_places,traffic_eta,Giao thông và thời gian dự kiến đến nơi (ETA),"Vita, còn bao lâu nữa thì tới nơi?",driving,quiet,persona:0071,,Còn bao lâu nữa thì tới nơi?,0071,Luka Petrov,openrouter/ag/gemini-3-flash
journey_navigation_places,traffic_eta,Giao thông và thời gian dự kiến đến nơi (ETA),"Vita, tình hình giao thông phía trước thế nào?",driving,balance,persona:0071,,Tình hình giao thông phía trước thế nào?,0071,Luka Petrov,openrouter/ag/gemini-3-flash
journey_navigation_places,traffic_eta,Giao thông và thời gian dự kiến đến nơi (ETA),"Vita, dự kiến mấy giờ tới sân bay?",driving,proactive,persona:0071,,Mấy giờ tôi sẽ đến sân bay?,0071,Luka Petrov,openrouter/ag/gemini-3-flash
journey_navigation_places,traffic_eta,Giao thông và thời gian dự kiến đến nơi (ETA),"Vita, khởi hành bây giờ thì bao lâu nữa đến công ty?",parking,quiet,persona:0071,,"Xe đang đỗ đây, nếu khởi hành bây giờ thì bao lâu nữa tôi đến công ty?",0071,Luka Petrov,openrouter/ag/gemini-3-flash
journey_navigation_places,traffic_eta,Giao thông và thời gian dự kiến đến nơi (ETA),"Vita, kiểm tra giao thông và giờ đến sân bay nếu đi bây giờ.",parking,balance,persona:0071,,"Trước khi đi, kiểm tra giúp tôi tình hình giao thông đến sân bay và giờ đến dự kiến.",0071,Luka Petrov,openrouter/ag/gemini-3-flash
journey_navigation_places,traffic_eta,Giao thông và thời gian dự kiến đến nơi (ETA),"Vita, xuất phát ngay thì mấy giờ tới trung tâm hội nghị?",parking,proactive,persona:0071,,Nếu xuất phát ngay thì mấy giờ tôi tới trung tâm hội nghị?,0071,Luka Petrov,openrouter/ag/gemini-3-flash
journey_navigation_places,parking_arrival,Đỗ xe/đến nơi,"Vita, hướng dẫn vào bãi đỗ xe của tòa nhà.",driving,quiet,persona:0071,,"Tôi sắp đến rồi, bật hướng dẫn vào bãi đỗ của tòa nhà nhé.",0071,Luka Petrov,openrouter/ag/gemini-3-flash
journey_navigation_places,parking_arrival,Đỗ xe/đến nơi,"Vita, chỉ đường vào bãi đỗ xe tại điểm đến giúp tôi.",driving,balance,persona:0071,,"Gần tới nơi rồi, chỉ đường vào bãi đỗ xe tại điểm đến giúp tôi.",0071,Luka Petrov,openrouter/ag/gemini-3-flash
